pricing,bed,bath,sqft,plot_size,address,PublicSymbol,PrivateSymbol
"$799,000",4,2.5,"1,651","4,086",5113 western ave nw,NonLead,NonLead
"$1,115,000",4,3.5,"2,123","3,559",4001 16th st nw,NonLead,NonLead
"$1,995,000",5,4.5,"3,354","6,574",6005 utah ave nw,NonLead,NonLead
"$475,000",4,3.5,"1,500","1,640",629 columbia rd nw,Lead,Lead
"$2,295,000",3,2.5,"1,887","2,499",1614 34th st nw,NonLead,NonLead
"$2,595,000",4,1.5,"5,528","1,852",2010 hillyer pl nw,NonLead,NonLead
"$2,999,500",4,4.5+,"3,500","1,831",3525 winfield ln nw,NonLead,NonLead
"$3,295,000",5,4.5,"3,900",0.24,5110 cathedral ave nw,NonLead,NonLead
"$920,000",2,2,"1,413","1,307",425 5th st ne,NonLead,NonLead
"$1,500,000",4,1.5,"2,508","1,209",328 5th st se,NonLead,Lead
"$494,000",3,2,"1,633",986,225 cromwell ter ne,NonLead,Lead
"$1,350,000",3,3.5,"2,114","2,160",4114 arkansas ave nw,NonLead,NonLead
"$1,695,000",7,5.5,"4,520","2,600",1309 kenyon st nw,NonLead,NonLead
"$1,950,000",7,6.5,"3,600","1,808",1312 fairmont st nw,NonLead,NonLead
"$3,495,000",4,4.5,"3,900","2,000",1735 19th st nw,NonLead,Lead
"$550,000",3,2.5,"2,184","3,438",1444 minnesota ave se,NonLead,NonLead
"$799,900",8,5.5,"4,450","4,000",219 56th pl ne,NonLead,NonLead
"$1,689,000",4,3.5,"2,449","1,853",1436 corcoran st nw,NonLead,NonLead
"$1,850,000",6,4.5,"5,848","8,068",5125 52nd st nw,NonLead,NonLead
"$515,000",3,2.5,"1,634","2,750",128 56th st se,NonLead,NonLead
"$789,000",3,2,"1,792","1,386",129 u st ne,NonLead,Lead
"$4,275,000",,,,0.78,2701 32nd st nw,NonLead,NonLead
"$2,395,000",4,4,"3,095","2,185",3317 dent pl nw,NonLead,NonLead
"$1,149,000",4,3.5,"2,704","2,100",4411 iowa ave nw,Lead,Lead
"$2,100,000",7,3.5,"4,341","2,100",1730 lamont st nw,NonLead,Lead
"$750,000",4,2.5,"1,928","1,500",441 newton pl nw,NonLead,NonLead
"$689,900",3,2.5,"2,068","2,693",5814 3rd st nw,NonLead,NonLead
"$1,595,000",3,2.5+,"2,466","1,182",4543 westhall dr nw,NonLead,NonLead
"$590,000",3,2.5,"1,732","1,782",805 longfellow st nw,NonLead,Lead
"$3,795,000",6,4.5+,"5,650","5,384",3306 highland pl nw,NonLead,NonLead
